timestamp,action,amount,capital_after
2025-02-03 08:00:00,FUNDING_FEE,-0.19439277236593427,10307.235767687433
2025-02-03 08:00:00,CLOSE_POSITION,687.03660266656,10994.272370353992
2025-02-03 08:00:00,OPEN_POSITION,-660.6458267345714,10333.62654361942
2025-02-03 12:00:00,FUNDING_FEE,-0.20705127337081103,10333.419492346049
2025-02-03 16:00:00,FUNDING_FEE,-0.21192383525011824,10333.2075685108
2025-02-03 20:00:00,FUNDING_FEE,-0.22085648175630201,10332.986712029044
2025-02-03 20:00:00,CLOSE_POSITION,888.1478507117595,11221.134562740803
2025-02-03 20:00:00,OPEN_POSITION,-674.2779758750949,10546.856586865708
2025-02-04 00:00:00,FUNDING_FEE,-0.1971201614410009,10546.659466704266
2025-02-04 04:00:00,FUNDING_FEE,-0.1896084029699024,10546.469858301296
2025-02-04 04:00:00,CLOSE_POSITION,796.0402233439195,11342.510081645216
2025-02-04 04:00:00,OPEN_POSITION,-681.571430806061,10660.938650839154
2025-02-04 08:00:00,FUNDING_FEE,-0.20828949401732258,10660.730361345137
2025-02-04 16:00:00,FUNDING_FEE,-0.209188547311291,10660.521172797826
2025-02-04 16:00:00,CLOSE_POSITION,729.7383205789276,11390.259493376754
2025-02-04 16:00:00,OPEN_POSITION,-684.4406929570092,10705.818800419745
2025-02-05 00:00:00,FUNDING_FEE,-0.2013297321600307,10705.617470687586
2025-02-05 00:00:00,CLOSE_POSITION,719.3583081493138,11424.9757788369
