trade_id,entry_time,exit_time,entry_price,exit_price,position_size,position_type,pnl,gross_pnl,commission,funding,prediction,actual,probability,liquidated,margin_used,unrealized_pnl,margin_loss_pct
119,2025-04-03 00:00:00,2025-04-03 16:00:00,1823.75,1786.53,-2.0123236933913318,Short,73.10114954404821,74.89868786802542,1.797538323977208,0.3595076647954416,1.0,1.0,0.7240423058212027,False,1223.3251119408137,74.89868786802542,0
120,2025-04-03 16:00:00,2025-04-03 20:00:00,1786.53,1816.48,2.0613187644588544,Long,59.864324840910676,61.73649699554279,1.8721721546321102,0.37443443092642203,0.0,0.0,0.3647671543953238,False,1227.5359374228922,61.73649699554279,0
121,2025-04-03 20:00:00,2025-04-04 00:00:00,1816.48,1792.13,-2.033044436404128,Short,47.68289206353386,49.504632026440326,1.8217399629064648,0.36434799258129297,1.0,1.0,0.5805513447852373,False,1230.9948526131232,49.504632026440326,0
122,2025-04-04 00:00:00,2025-04-04 04:00:00,1792.13,1816.88,2.0652349590498096,Long,49.238423190283584,51.11456523648279,1.876142046199209,0.37522840923984185,0.0,0.0,0.4545479886163017,False,1233.723175720645,51.11456523648279,0
123,2025-04-04 08:00:00,2025-04-05 08:00:00,1783.16,1806.6,2.080369566928979,Long,46.88466481900796,48.76386264881491,1.8791978298069467,0.37583956596138934,0.0,0.0,0.45410727223703484,False,1236.5439323216929,48.76386264881491,0
124,2025-04-05 16:00:00,2025-04-06 00:00:00,1781.33,1809.11,2.0869812565638703,Long,56.08854997681313,57.97633930734426,1.8877893305311315,0.3775578661062263,0.0,0.0,0.2469936492302983,False,1239.2007739183064,57.97633930734426,0
125,2025-04-06 00:00:00,2025-04-07 04:00:00,1809.11,1459.52,-2.060292473164091,Short,718.7541266582182,720.2576456934344,1.5035190352162269,0.3007038070432454,1.0,1.0,0.8249869789241533,False,1242.431905375296,720.2576456934344,0
126,2025-04-07 04:00:00,2025-04-07 12:00:00,1459.52,1555.54,2.641946840731629,Long,251.62490865273514,253.679735647051,2.0548269943158393,0.4109653988631679,0.0,0.0,0.27764128699328894,False,1285.3247509948758,253.679735647051,0
127,2025-04-07 12:00:00,2025-04-07 16:00:00,1555.54,1544.56,-2.507666297456136,Short,25.597555417868996,27.53417594606842,1.9366205281994249,0.387324105639885,1.0,1.0,0.8604845517251904,False,1300.2584107816392,27.53417594606842,0
128,2025-04-07 16:00:00,2025-04-08 00:00:00,1544.56,1583.96,2.5282035040465947,Long,97.60893144830123,99.61121805943606,2.002286611134822,0.40045732222696445,0.0,0.0,0.115081846542766,False,1301.6540014034026,99.61121805943606,0
129,2025-04-08 00:00:00,2025-04-08 04:00:00,1583.96,1569.98,-2.4760962619359463,Short,32.672114937207475,34.615825741864576,1.9437108046570986,0.3887421609314197,1.0,1.0,0.740913016520389,False,1307.345811685354,34.615825741864576,0
130,2025-04-08 04:00:00,2025-04-08 08:00:00,1569.98,1587.56,2.501621331982978,Long,41.992766035359125,43.978503016260575,1.9857369809014485,0.39714739618028966,0.0,0.0,0.23780245326958468,False,1309.1651529288786,43.978503016260575,0
131,2025-04-08 08:00:00,2025-04-09 00:00:00,1587.56,1417.96,-2.478412907575397,Short,418.58168394157434,420.33882912478714,1.757145183212805,0.35142903664256103,1.0,1.0,0.8445302420989814,False,1311.5430651834658,420.33882912478714,0
