trade_id,entry_time,exit_time,position_type,entry_price,exit_price,pnl,duration
431,2025-05-06 03:16:00,2025-05-06 03:18:00,SHORT,94280.93,94328.45,-0.0005040255754796232,0.03333333333333333
432,2025-05-06 03:25:00,2025-05-06 03:28:00,SHORT,94289.94,94422.64,-0.0014073611670555426,0.05
433,2025-05-06 03:31:00,2025-05-06 03:32:00,SHORT,94428.33,94428.57,-2.541610129134325e-06,0.016666666666666666
434,2025-05-06 03:33:00,2025-05-06 03:34:00,SHORT,94464.57,94450.79,0.00014587479729186707,0.016666666666666666
435,2025-05-06 03:46:00,2025-05-06 03:47:00,SHORT,94460.37,94438.37,0.00023290190372957464,0.016666666666666666
436,2025-05-06 03:48:00,2025-05-06 03:50:00,SHORT,94466.18,94508.0,-0.0004426981169346213,0.03333333333333333
437,2025-05-06 03:57:00,2025-05-06 03:58:00,SHORT,94454.43,94464.69,-0.00010862380938627562,0.016666666666666666
438,2025-05-06 04:01:00,2025-05-06 04:02:00,SHORT,94438.75,94444.24,-5.813291683768833e-05,0.016666666666666666
439,2025-05-06 04:06:00,2025-05-06 04:07:00,SHORT,94415.95,94415.95,0.0,0.016666666666666666
440,2025-05-06 04:08:00,2025-05-06 04:09:00,SHORT,94425.71,94368.36,0.0006073557720668006,0.016666666666666666
441,2025-05-06 04:10:00,2025-05-06 04:11:00,SHORT,94385.82,94385.81,1.0594811815284569e-07,0.016666666666666666
442,2025-05-06 04:12:00,2025-05-06 04:13:00,SHORT,94422.65,94414.51,8.620812908766508e-05,0.016666666666666666
443,2025-05-06 04:17:00,2025-05-06 04:18:00,SHORT,94449.21,94441.98,7.654907860013309e-05,0.016666666666666666
444,2025-05-06 04:20:00,2025-05-06 04:22:00,SHORT,94458.95,94508.01,-0.0005193790530171855,0.03333333333333333
445,2025-05-06 04:23:00,2025-05-06 04:24:00,LONG,94533.67,94542.36,9.192491944935946e-05,0.016666666666666666
446,2025-05-06 04:34:00,2025-05-06 04:35:00,LONG,94560.01,94550.0,-0.00010585870284906656,0.016666666666666666
447,2025-05-06 04:36:00,2025-05-06 04:37:00,LONG,94508.32,94516.0,8.126268671364611e-05,0.016666666666666666
448,2025-05-06 04:39:00,2025-05-06 04:40:00,LONG,94487.66,94493.1,5.757365564987352e-05,0.016666666666666666
449,2025-05-06 04:44:00,2025-05-06 04:45:00,SHORT,94461.21,94520.77,-0.0006305233650934353,0.016666666666666666
450,2025-05-06 04:46:00,2025-05-06 04:48:00,LONG,94535.84,94514.29,-0.00022795587366656827,0.03333333333333333
451,2025-05-06 04:56:00,2025-05-06 04:57:00,LONG,94552.04,94567.99,0.00016869017315767742,0.016666666666666666
452,2025-05-06 05:02:00,2025-05-06 05:03:00,LONG,94583.5,94583.49,-1.0572668588877881e-07,0.016666666666666666
453,2025-05-06 05:04:00,2025-05-06 05:05:00,LONG,94540.01,94528.71,-0.00011952611386426084,0.016666666666666666
454,2025-05-06 05:06:00,2025-05-06 05:07:00,LONG,94491.55,94496.28,5.005738608368606e-05,0.016666666666666666
455,2025-05-06 05:10:00,2025-05-06 05:11:00,LONG,94498.31,94497.19,-1.1852063809345832e-05,0.016666666666666666
456,2025-05-06 05:14:00,2025-05-06 05:15:00,LONG,94490.68,94515.9,0.0002669046301709456,0.016666666666666666
457,2025-05-06 05:16:00,2025-05-06 05:17:00,LONG,94463.92,94447.88,-0.00016980027930233677,0.016666666666666666
458,2025-05-06 05:18:00,2025-05-06 05:19:00,LONG,94428.9,94425.43,-3.674722463145461e-05,0.016666666666666666
459,2025-05-06 05:21:00,2025-05-06 05:23:00,LONG,94404.34,94372.36,-0.00033875561229490005,0.03333333333333333
460,2025-05-06 05:28:00,2025-05-06 05:29:00,LONG,94378.95,94369.21,-0.00010320097860794899,0.016666666666666666
461,2025-05-06 05:31:00,2025-05-06 05:33:00,LONG,94351.32,94316.08,-0.000373497689274567,0.03333333333333333
462,2025-05-06 05:39:00,2025-05-06 05:40:00,LONG,94361.95,94398.49,0.00038723235371893174,0.016666666666666666
463,2025-05-06 05:44:00,2025-05-06 05:45:00,LONG,94359.99,94394.27,0.00036328956796200207,0.016666666666666666
464,2025-05-06 05:48:00,2025-05-06 05:49:00,LONG,94358.12,94397.87,0.00042126740125810055,0.016666666666666666
465,2025-05-06 05:51:00,2025-05-06 05:52:00,LONG,94355.57,94336.6,-0.0002010480144415551,0.016666666666666666
466,2025-05-06 05:59:00,2025-05-06 06:00:00,SHORT,94345.56,94356.27,-0.00011351885557737325,0.016666666666666666
467,2025-05-06 06:11:00,2025-05-06 06:12:00,LONG,94442.03,94442.03,0.0,0.016666666666666666
468,2025-05-06 06:17:00,2025-05-06 06:18:00,SHORT,94459.99,94470.64,-0.0001127461478663525,0.016666666666666666
469,2025-05-06 06:28:00,2025-05-06 06:29:00,SHORT,94414.7,94417.78,-3.2622038729157075e-05,0.016666666666666666
470,2025-05-06 06:30:00,2025-05-06 06:31:00,SHORT,94440.0,94406.68,0.0003528166031343391,0.016666666666666666
471,2025-05-06 06:35:00,2025-05-06 06:38:00,SHORT,94424.39,94479.99,-0.0005888309154023216,0.05
472,2025-05-06 06:39:00,2025-05-06 06:40:00,LONG,94468.01,94460.37,-8.087393817229153e-05,0.016666666666666666
473,2025-05-06 06:46:00,2025-05-06 06:47:00,LONG,94464.53,94428.12,-0.00038543567622687045,0.016666666666666666
474,2025-05-06 06:48:00,2025-05-06 06:49:00,SHORT,94464.53,94475.92,-0.00012057435738048363,0.016666666666666666
475,2025-05-06 07:00:00,2025-05-06 07:01:00,LONG,94505.83,94536.45,0.0003240011753771735,0.016666666666666666
476,2025-05-06 07:03:00,2025-05-06 07:04:00,LONG,94550.22,94571.48,0.00022485405110633016,0.016666666666666666
477,2025-05-06 07:05:00,2025-05-06 07:06:00,LONG,94556.08,94535.85,-0.00021394710948249892,0.016666666666666666
478,2025-05-06 07:11:00,2025-05-06 07:12:00,LONG,94535.84,94535.85,1.057799878788111e-07,0.016666666666666666
479,2025-05-06 07:13:00,2025-05-06 07:14:00,LONG,94480.02,94494.99,0.0001584461984661007,0.016666666666666666
480,2025-05-06 07:15:00,2025-05-06 07:16:00,LONG,94460.38,94454.25,-6.48949326691747e-05,0.016666666666666666
481,2025-05-06 07:20:00,2025-05-06 07:21:00,SHORT,94450.79,94432.86,0.00018983430419155855,0.016666666666666666
482,2025-05-06 07:22:00,2025-05-06 07:23:00,SHORT,94457.71,94452.86,5.134572921581331e-05,0.016666666666666666
483,2025-05-06 07:28:00,2025-05-06 07:29:00,SHORT,94434.91,94429.95,5.252294940511303e-05,0.016666666666666666
484,2025-05-06 07:30:00,2025-05-06 07:31:00,SHORT,94457.46,94496.28,-0.0004109786564236687,0.016666666666666666
485,2025-05-06 07:32:00,2025-05-06 07:33:00,LONG,94509.31,94535.83,0.000280607275621884,0.016666666666666666
486,2025-05-06 07:34:00,2025-05-06 07:35:00,LONG,94479.28,94509.94,0.00032451559749400603,0.016666666666666666
487,2025-05-06 07:37:00,2025-05-06 07:38:00,LONG,94495.17,94474.43,-0.0002194821174458466,0.016666666666666666
488,2025-05-06 07:39:00,2025-05-06 07:40:00,LONG,94367.43,94386.08,0.00019763174646176898,0.016666666666666666
489,2025-05-06 07:50:00,2025-05-06 07:51:00,SHORT,94423.72,94419.5,4.4692159978458423e-05,0.016666666666666666
490,2025-05-06 07:55:00,2025-05-06 07:56:00,SHORT,94409.53,94411.99,-2.6056691522629153e-05,0.016666666666666666
491,2025-05-06 07:58:00,2025-05-06 07:59:00,SHORT,94438.82,94400.99,0.00040057679670289976,0.016666666666666666
492,2025-05-06 08:04:00,2025-05-06 08:05:00,SHORT,94374.58,94369.05,5.8596287262934956e-05,0.016666666666666666
493,2025-05-06 08:08:00,2025-05-06 08:09:00,SHORT,94363.12,94342.5,0.00021851757339091103,0.016666666666666666
494,2025-05-06 08:22:00,2025-05-06 08:23:00,SHORT,94131.11,94071.42,0.0006341155437347157,0.016666666666666666
495,2025-05-06 08:24:00,2025-05-06 08:25:00,SHORT,94093.47,94100.0,-6.939907732171888e-05,0.016666666666666666
496,2025-05-06 08:30:00,2025-05-06 08:31:00,SHORT,94111.99,94111.99,0.0,0.016666666666666666
497,2025-05-06 08:32:00,2025-05-06 08:33:00,SHORT,94139.1,94158.0,-0.00020076673773165643,0.016666666666666666
498,2025-05-06 08:36:00,2025-05-06 08:37:00,SHORT,94198.4,94175.17,0.00024660716105577086,0.016666666666666666
499,2025-05-06 08:38:00,2025-05-06 08:39:00,SHORT,94192.84,94180.92,0.00012654889692250763,0.016666666666666666
500,2025-05-06 08:42:00,2025-05-06 08:46:00,SHORT,94191.98,94281.89,-0.000954539866345346,0.06666666666666667
