,symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA21,Position,Returns,Strategy
97,BTC/USD,2023-04-07 05:00:00+00:00,28042.19,28080.08,27782.43,27999.9794569,4015.888266731,82857.0,27924.3359456564,27914.76073297857,1,-0.0013482370372754904,-0.0013482370372754904
98,BTC/USD,2023-04-08 05:00:00+00:00,28000.11,28180.0,27885.74,28060.885825,2321.598404341,45656.0,28027.7627226269,27955.53196274048,1,0.0021752290280696585,0.0021752290280696585
99,BTC/USD,2023-04-09 05:00:00+00:00,28055.09,28551.55,27817.06,28259.98,4613.390768559,73562.0,28170.552366733,27989.627200835715,1,0.00709507804713061,0.00709507804713061
100,BTC/USD,2023-04-10 05:00:00+00:00,28261.6,30442.56,28155.3093783575,30135.24225,11200.701133153,162965.0,29309.7284147988,28090.74254607381,1,0.06635752219216018,0.06635752219216018
101,BTC/USD,2023-04-11 05:00:00+00:00,30132.76,30566.97,29810.74,29996.1628,8704.596567429,134807.0,30147.9451904023,28171.71812813095,1,-0.004615176106639751,-0.004615176106639751
102,BTC/USD,2023-04-12 05:00:00+00:00,29995.67,30500.0,29698.05,30081.6026415,6767.991583559,143640.0,30058.6152831762,28301.41397129762,1,0.002848359040777071,0.002848359040777071
103,BTC/USD,2023-04-13 05:00:00+00:00,30089.14,30931.0073982,29844.9483631885,30739.062565,8896.604314699,176811.0,30437.6018313909,28422.759485916667,1,0.02185588086297563,0.02185588086297563
104,BTC/USD,2023-04-14 05:00:00+00:00,30740.07,31049.99,29989.96,30387.692417,9085.650684691,177380.0,30514.5009608404,28556.399766964285,1,-0.011430737266531876,-0.011430737266531876
105,BTC/USD,2023-04-15 05:00:00+00:00,30384.86,30573.3973172175,30157.85,30328.77,3450.189534846,83484.0,30362.6436367073,28689.01833839286,1,-0.001939022423664949,-0.001939022423664949
106,BTC/USD,2023-04-16 05:00:00+00:00,30331.71,30571.93,29805.39,30020.0023159,5066.188161238,95674.0,30270.4794514259,28787.677962059523,1,-0.010180685998805727,-0.010180685998805727
107,BTC/USD,2023-04-17 05:00:00+00:00,30021.25,30167.095685401,29118.04,29512.00315845,6956.835093664,110222.0,29539.300758247,28908.268910080948,1,-0.01692202259361386,-0.01692202259361386
108,BTC/USD,2023-04-18 05:00:00+00:00,29514.67,30498.99,29503.80875,30217.17997,8187.363983937,127759.0,30167.6564810764,29033.807956271427,1,0.023894576310659277,0.023894576310659277
109,BTC/USD,2023-04-19 05:00:00+00:00,30223.3,30344.205560231,28591.0,28903.5682585,9837.953414187,173514.0,29296.739304652,29048.528349533335,-1,-0.04347234628791208,-0.04347234628791208
110,BTC/USD,2023-04-20 05:00:00+00:00,28915.17,29102.49,27996.98,28262.08545,8749.988062385,142617.0,28496.3697737416,29051.80670429524,-1,-0.022193896710706373,0.022193896710706373
111,BTC/USD,2023-04-21 05:00:00+00:00,28255.09,28324.38,27156.84,27370.65487,7112.208950671,121635.0,27834.987085967,28993.816936199997,-1,-0.03154157118295742,0.03154157118295742
112,BTC/USD,2023-04-22 05:00:00+00:00,27369.35,28079.916282246,27218.64,27625.79047815,3431.306921162,71938.0,27582.4970048361,28956.888806588093,-1,0.009321501782175057,-0.009321501782175057
113,BTC/USD,2023-04-23 05:00:00+00:00,27619.32,28014.46,27344.2141083,27726.628595,6306.257287378,102760.0,27624.6379696981,28956.997770496666,-1,0.0036501441263645518,-0.0036501441263645518
114,BTC/USD,2023-04-24 05:00:00+00:00,27720.25,27783.28,26975.61,27432.28,7524.658705077,118898.0,27419.7763454988,28937.92217049667,-1,-0.010616097589776219,0.010616097589776219
115,BTC/USD,2023-04-25 05:00:00+00:00,27432.28,28603.497840503,27208.300644705,28350.3305,7514.281863155,132001.0,27834.178510425,28930.33821824428,-1,0.03346606625479187,-0.03346606625479187
116,BTC/USD,2023-04-26 05:00:00+00:00,28347.67,30046.27,27261.01,29119.0,18220.45022917,294221.0,28896.3505897838,28979.3658372919,1,0.027113246528113644,-0.027113246528113644
117,BTC/USD,2023-04-27 05:00:00+00:00,29119.0,29912.28,28646.88,29537.16,12428.400177452,191194.0,29293.5992609672,29050.764835780952,1,0.014360383254919507,0.014360383254919507
118,BTC/USD,2023-04-28 05:00:00+00:00,29542.61,30236.381845,28922.03,29418.96769555,5359.938635627,89534.0,29297.2153736201,29118.335704288096,1,-0.004001478288704785,-0.004001478288704785
119,BTC/USD,2023-04-29 05:00:00+00:00,29422.55,30264.74818,29082.47,29250.01304207,1872.162764733,41237.0,29292.2126337946,29174.960809862856,1,-0.005743051735481397,-0.005743051735481397
120,BTC/USD,2023-04-30 05:00:00+00:00,29247.41585,29985.57,28410.56,28596.724675,5635.676745396,106439.0,29291.2840269676,29190.99627057714,-1,-0.022334635069406028,-0.022334635069406028
121,BTC/USD,2023-05-01 05:00:00+00:00,28592.33,28745.05984,27690.27,27982.176006395,7036.519507334,138520.0,28227.2219253955,29088.46930659595,-1,-0.021490176780358916,0.021490176780358916
